"job_id","job_title_short","company_name","job_schedule_type","salary_year_avg"
226942,"Data Analyst","Mantys","Full-time","650000.0"
547382,"Data Analyst","Meta","Full-time","336500.0"
552322,"Data Analyst","AT&T","Full-time","255829.5"
99305,"Data Analyst","Pinterest Job Advertisements","Full-time","232423.0"
1021647,"Data Analyst","Uclahealthcareers","Full-time","217000.0"
168310,"Data Analyst","SmartAsset","Full-time","205000.0"
731368,"Data Analyst","Inclusively","Full-time","189309.0"
310660,"Data Analyst","Motional","Full-time","189000.0"
1749593,"Data Analyst","SmartAsset","Full-time","186000.0"
387860,"Data Analyst","Get It Recruit - Information Technology","Full-time","184000.0"
